timestamp,datetime_utc,xrp_spread,bch_spread
1643904000000,2022-02-03T16:00:00+00:00,9883.323414457343,528.4203550794482
1643907600000,2022-02-03T17:00:00+00:00,9888.45249162499,455.6091775048844
1643911200000,2022-02-03T18:00:00+00:00,9852.86870423313,425.3705066853581
1643914800000,2022-02-03T19:00:00+00:00,9787.656228866646,380.1665786859521
1643918400000,2022-02-03T20:00:00+00:00,9617.198346472152,246.10857245667285
1643922000000,2022-02-03T21:00:00+00:00,9871.167808594852,117.73153540486965
1643925600000,2022-02-03T22:00:00+00:00,9883.57510719982,12.37896773238026
1643929200000,2022-02-03T23:00:00+00:00,10056.602121150125,69.43606845248723
1643932800000,2022-02-04T00:00:00+00:00,10057.666971582694,179.35630937143287
1643936400000,2022-02-04T01:00:00+00:00,10112.393324399189,365.813710552502
1643940000000,2022-02-04T02:00:00+00:00,10016.119501337329,509.80766832291556
1643943600000,2022-02-04T03:00:00+00:00,10109.70579976567,597.5901453069382
1643947200000,2022-02-04T04:00:00+00:00,10065.948695757208,561.7572148806139
1643950800000,2022-02-04T05:00:00+00:00,10073.835207500211,321.49286596076854
1643954400000,2022-02-04T06:00:00+00:00,10384.152139868282,386.4094834675634
1643958000000,2022-02-04T07:00:00+00:00,10287.841221273884,87.4835021554245
1643961600000,2022-02-04T08:00:00+00:00,10269.598655849251,-205.6745026984354
1643965200000,2022-02-04T09:00:00+00:00,10370.348072059718,-93.50864184577222
1643968800000,2022-02-04T10:00:00+00:00,10347.643673684248,-55.56181456647755
1643972400000,2022-02-04T11:00:00+00:00,10371.763564907935,-74.5705760744604
1643976000000,2022-02-04T12:00:00+00:00,10485.916990300851,-104.0950468292067
1643979600000,2022-02-04T13:00:00+00:00,10276.994491978254,-270.4146854507853
1643983200000,2022-02-04T14:00:00+00:00,10555.72351051978,-110.31891391114914
1643986800000,2022-02-04T15:00:00+00:00,11564.971407394478,755.2892452994711
1643990400000,2022-02-04T16:00:00+00:00,11880.62459828292,1003.0605460843653
1643994000000,2022-02-04T17:00:00+00:00,11933.172671035973,1108.2690057559594
1643997600000,2022-02-04T18:00:00+00:00,11975.465431057124,862.3623598535851
1644001200000,2022-02-04T19:00:00+00:00,12111.00787922952,1049.6188555254703
1644004800000,2022-02-04T20:00:00+00:00,12046.87958044792,1082.6687039195604
1644008400000,2022-02-04T21:00:00+00:00,12074.934232046024,898.7560157875996
1644012000000,2022-02-04T22:00:00+00:00,12012.639856626673,817.5273151970687
1644015600000,2022-02-04T23:00:00+00:00,12257.197387264463,986.9605502106424
1644019200000,2022-02-05T00:00:00+00:00,11450.865836496654,1124.5523923754517
1644022800000,2022-02-05T01:00:00+00:00,11553.481387970995,988.4989178183532
1644026400000,2022-02-05T02:00:00+00:00,11584.712528355973,778.3620607680423
1644030000000,2022-02-05T03:00:00+00:00,11540.099098725103,885.4681029976346
1644033600000,2022-02-05T04:00:00+00:00,11470.651687105856,808.5678011612399
1644037200000,2022-02-05T05:00:00+00:00,11569.749682514634,389.45571807749366
1644040800000,2022-02-05T06:00:00+00:00,11554.760211916004,263.95088456890517
1644044400000,2022-02-05T07:00:00+00:00,11426.010406512516,364.6620621434704
1644048000000,2022-02-05T08:00:00+00:00,11352.813578682806,171.86719886387436
1644051600000,2022-02-05T09:00:00+00:00,11426.95201767276,134.7233926993722
1644055200000,2022-02-05T10:00:00+00:00,11454.495750676459,60.47384614167822
1644058800000,2022-02-05T11:00:00+00:00,11444.588121504585,-257.8551562852517
1644062400000,2022-02-05T12:00:00+00:00,11444.93592231685,-392.85394756425376
1644066000000,2022-02-05T13:00:00+00:00,11524.441157704481,-734.2137648119024
1644069600000,2022-02-05T14:00:00+00:00,11422.244777693908,-1252.9451833054045
1644073200000,2022-02-05T15:00:00+00:00,11645.08683667329,-953.5482044201999
1644076800000,2022-02-05T16:00:00+00:00,11748.32601661297,-999.3974505169244
1644080400000,2022-02-05T17:00:00+00:00,11870.975315571199,-1674.350015438562
1644084000000,2022-02-05T18:00:00+00:00,11937.110523764753,-985.8554553707872
1644087600000,2022-02-05T19:00:00+00:00,11927.508966992671,-698.6122542544981
1644091200000,2022-02-05T20:00:00+00:00,11871.248962754704,-1030.4614976003795
1644094800000,2022-02-05T21:00:00+00:00,11782.159044336946,-903.9714678293676
1644098400000,2022-02-05T22:00:00+00:00,11769.414532947198,-1068.752434255999
1644102000000,2022-02-05T23:00:00+00:00,11637.507682161366,-1064.3965436323197
1644105600000,2022-02-06T00:00:00+00:00,11588.84890412859,-1317.7693522237532
1644109200000,2022-02-06T01:00:00+00:00,11498.54109907836,-1778.9355135373844
1644112800000,2022-02-06T02:00:00+00:00,11540.17597670501,-1803.5472961601627
1644116400000,2022-02-06T03:00:00+00:00,11509.129849917066,-1792.7708614057192
1644120000000,2022-02-06T04:00:00+00:00,11663.263890531554,-1428.1684453391426
1644123600000,2022-02-06T05:00:00+00:00,11741.472415341697,-1612.8811334711063
1644127200000,2022-02-06T06:00:00+00:00,11770.487071177762,-1232.6376305184167
1644130800000,2022-02-06T07:00:00+00:00,11702.712858922878,-1194.3485062565887
1644134400000,2022-02-06T08:00:00+00:00,11630.399040098979,-1371.0820403557154
1644138000000,2022-02-06T09:00:00+00:00,11668.931854508286,-1499.118293733227
1644141600000,2022-02-06T10:00:00+00:00,11719.840827137577,-1094.8823435675367
1644145200000,2022-02-06T11:00:00+00:00,11680.88617553948,-958.9802293373505
1644148800000,2022-02-06T12:00:00+00:00,11709.932302327426,-920.0669361571781
1644152400000,2022-02-06T13:00:00+00:00,11665.65369169708,-844.0192019932729
1644156000000,2022-02-06T14:00:00+00:00,11615.134034977862,-590.5602916302305
1644159600000,2022-02-06T15:00:00+00:00,11701.961496747306,-676.7463934018378
1644163200000,2022-02-06T16:00:00+00:00,11665.272745908609,-625.3929188447364
1644166800000,2022-02-06T17:00:00+00:00,11699.53753771506,-688.6379337302424
1644170400000,2022-02-06T18:00:00+00:00,11694.17364154688,-478.63823694206803
1644174000000,2022-02-06T19:00:00+00:00,11693.729402097924,-521.3092331397129
1644177600000,2022-02-06T20:00:00+00:00,11614.987732311562,-502.64004933585966
1644181200000,2022-02-06T21:00:00+00:00,11514.971850270325,-568.8300791068687
1644184800000,2022-02-06T22:00:00+00:00,11577.086895299402,-564.6865747787597
1644188400000,2022-02-06T23:00:00+00:00,11870.651004782248,-666.5403484213966
1644192000000,2022-02-07T00:00:00+00:00,11505.786330228031,-564.9022840255129
1644195600000,2022-02-07T01:00:00+00:00,11397.609606936672,-449.92373366546235
1644199200000,2022-02-07T02:00:00+00:00,10493.557989066823,-535.390500027308
1644202800000,2022-02-07T03:00:00+00:00,10472.40265514512,-988.4101345226081
1644206400000,2022-02-07T04:00:00+00:00,10444.434632542267,-824.058775571124
1644210000000,2022-02-07T05:00:00+00:00,9517.12079252857,-1133.014968031188
1644213600000,2022-02-07T06:00:00+00:00,9346.531652496844,-1487.605601474992
1644217200000,2022-02-07T07:00:00+00:00,8952.074372610034,-1421.0037890811946
1644220800000,2022-02-07T08:00:00+00:00,8321.899206090762,-2057.2741802306264
1644224400000,2022-02-07T09:00:00+00:00,8730.248915431817,-2007.931582787125
1644228000000,2022-02-07T10:00:00+00:00,8425.809404925225,-1896.2914014102134
1644231600000,2022-02-07T11:00:00+00:00,8112.309559613779,-1917.6173827223392
1644235200000,2022-02-07T12:00:00+00:00,8199.980093253114,-2185.746385149272
1644238800000,2022-02-07T13:00:00+00:00,8341.262265246776,-2148.8587714448367
1644242400000,2022-02-07T14:00:00+00:00,8808.744378614305,-1564.0394360350765
1644246000000,2022-02-07T15:00:00+00:00,9260.690953221398,-1089.0243304611067
